Agent_Age,Agent_Rating,Distance_km,Pickup_Lag_min,Hour,DayOfWeek,Weather_enc,Traffic_enc,Vehicle_enc,Area_enc,Category_enc,Delivery_Time
37,4.9,3.0251492856775037,1863375.0,11.0,5.0,0,0,0,0,0,120
34,4.5,20.183529728733618,1854725.0,19.0,4.0,1,1,1,1,1,165
23,4.4,1.5527578022548725,1863375.0,8.0,5.0,2,2,0,0,2,130
38,4.7,7.790401360105752,1838890.0,18.0,1.0,0,3,0,1,3,105
32,4.6,6.2101379656240985,1853295.0,13.0,5.0,3,0,1,1,4,150
22,4.8,4.610365144357058,1874890.0,21.0,4.0,3,1,0,0,4,130
33,4.7,16.600361127912656,1884975.0,19.0,4.0,4,1,1,1,4,200
35,4.6,20.20525323529291,1870565.0,17.0,0.0,3,3,0,1,5,160
22,4.8,19.975520086221444,1861930.0,20.0,6.0,1,1,0,1,1,170
36,4.2,10.280582064621875,1913775.0,21.0,5.0,4,1,0,1,4,230
21,4.7,6.242318682701243,1912330.0,14.0,6.0,1,0,0,1,3,115
23,4.7,13.787860239172547,1884970.0,17.0,4.0,2,3,1,1,6,105
34,4.3,2.9302578007621216,1912330.0,9.0,6.0,2,2,0,1,7,100
24,4.7,19.39661829066159,1910895.0,19.0,0.0,4,1,1,1,8,205
29,4.5,13.763977224427641,1843210.0,20.0,5.0,2,1,2,1,9,100
35,4.0,6.21800119018663,1889295.0,14.0,1.0,5,0,1,1,10,33
33,4.2,16.849939918016492,1867690.0,20.0,2.0,2,1,0,1,3,200
34,4.9,10.757108800258132,1861930.0,20.0,6.0,3,1,0,1,5,205
21,4.7,4.5405743887312955,1909455.0,21.0,1.0,5,1,0,0,8,75
25,4.1,12.256076445468295,1867685.0,20.0,2.0,2,1,0,1,4,180
31,4.7,19.618739348801018,1876335.0,22.0,3.0,2,2,2,1,11,130
37,5.0,1.5581322655568652,1874895.0,8.0,4.0,2,2,0,1,0,100
33,4.3,20.180635114114718,1851855.0,19.0,6.0,5,1,1,1,5,195
